Source,Target,Type,Id,Label,Weight
AC,AM,Directed,703,,10.383182
AC,MT,Directed,711,,13.000849
AC,RO,Directed,721,,4.094485
AC,RR,Directed,723,,14.649402
RO,AP,Directed,731,,15.55315
RO,MS,Directed,739,,14.930818
RO,RR,Directed,749,,12.024118
RO,TO,Directed,753,,15.645085
AM,AP,Directed,756,,9.486372
AM,PA,Directed,766,,11.654557
AM,RO,Directed,773,,6.8547
AM,RR,Directed,775,,5.972589
MT,DF,Directed,786,,8.211373
MT,PR,Directed,794,,11.972482
MT,RO,Directed,799,,10.38008
MT,TO,Directed,805,,9.433142
RR,MA,Directed,815,,17.274622
RR,MT,Directed,816,,18.986494
RR,PI,Directed,823,,19.539007
RR,TO,Directed,831,,17.983856
MS,DF,Directed,838,,8.199614
MS,MT,Directed,842,,5.076985
MS,PR,Directed,846,,7.310395
MS,SP,Directed,856,,8.564811
TO,AP,Directed,861,,10.624166
TO,BA,Directed,862,,10.191374
TO,CE,Directed,863,,11.744368
TO,MG,Directed,870,,10.615466
AP,MA,Directed,892,,7.270441
AP,PA,Directed,896,,2.976659
AP,PI,Directed,900,,9.699436
AP,RR,Directed,905,,10.016846
GO,MT,Directed,919,,6.929076
GO,MS,Directed,920,,6.569593
GO,MG,Directed,921,,6.215924
GO,TO,Directed,935,,6.503779
DF,GO,Directed,943,,1.630766
DF,MG,Directed,947,,5.704932
DF,SP,Directed,960,,7.868746
DF,TO,Directed,961,,5.563885
PA,CE,Directed,967,,10.204223
PA,PI,Directed,978,,6.724927
PA,RR,Directed,983,,12.929317
PA,TO,Directed,987,,8.786582
PR,RJ,Directed,1005,,6.553073
PR,RS,Directed,1008,,4.993123
PR,SC,Directed,1010,,2.263141
PR,SP,Directed,1012,,3.233535
MA,CE,Directed,1019,,5.849681
MA,PA,Directed,1026,,4.357083
MA,PI,Directed,1030,,2.908924
MA,TO,Directed,1039,,8.703004
SP,BA,Directed,1044,,13.360682
SP,GO,Directed,1048,,7.355978
SP,MT,Directed,1050,,12.358117
SP,TO,Directed,1065,,13.422495
PI,AL,Directed,1067,,8.419426
PI,RN,Directed,1084,,7.632531
PI,SE,Directed,1089,,8.197718
PI,TO,Directed,1091,,7.569283
MG,BA,Directed,1096,,8.817783
MG,PR,Directed,1106,,7.684937
MG,RJ,Directed,1109,,3.078301
MG,SP,Directed,1116,,4.543918
RS,MS,Directed,1129,,10.191831
RS,RJ,Directed,1136,,10.69312
RS,SC,Directed,1140,,3.580401
RS,SP,Directed,1142,,7.923107
SC,GO,Directed,1152,,10.931827
SC,MS,Directed,1155,,9.350675
SC,MG,Directed,1156,,8.978836
SC,SP,Directed,1168,,4.475304
RJ,DF,Directed,1176,,8.501907
RJ,GO,Directed,1178,,8.657934
RJ,SC,Directed,1192,,7.114386
RJ,SP,Directed,1194,,3.473899
ES,BA,Directed,1200,,7.546935
ES,MG,Directed,1207,,3.647787
ES,RJ,Directed,1213,,3.919917
ES,SP,Directed,1220,,7.126646
BA,AL,Directed,1223,,4.324518
BA,PB,Directed,1235,,6.878005
BA,PE,Directed,1237,,6.089935
BA,SE,Directed,1245,,2.488594
CE,PB,Directed,1261,,4.979773
CE,PE,Directed,1263,,5.64514
CE,PI,Directed,1264,,4.464301
CE,RN,Directed,1266,,3.913699
SE,CE,Directed,1279,,7.320876
SE,ES,Directed,1281,,9.90725
SE,MA,Directed,1283,,11.039859
SE,TO,Directed,1299,,11.273574
AL,PB,Directed,1313,,2.661831
AL,PE,Directed,1315,,1.791221
AL,RN,Directed,1318,,3.864132
AL,SE,Directed,1323,,1.855477
RN,BA,Directed,1330,,7.873498
RN,MA,Directed,1335,,9.623299
RN,SE,Directed,1349,,5.443878
RN,TO,Directed,1351,,13.845555
PE,MA,Directed,1361,,10.873899
PE,PI,Directed,1368,,8.463452
PE,RN,Directed,1370,,2.272221
PE,SE,Directed,1375,,3.602442
PB,PE,Directed,1393,,0.938968
PB,PI,Directed,1394,,8.196596
PB,RN,Directed,1396,,1.353814
PB,SE,Directed,1401,,4.395524
