uf_origem,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RO,RS,RR,SC,SE,SP,TO
AC,0.0,32.0770493486128,10.383181234739814,19.502741887169247,29.46006464863673,29.926662405374802,20.761040266595113,29.376323619492364,19.739385533745114,24.691748124654296,13.000848502439364,16.84981980350395,25.861910681384018,21.122029778722897,33.063907976228094,24.144864953097105,32.977582933523344,25.48314781128181,27.777992046683444,32.866855353228694,4.094484851677554,26.07261579014679,14.649401629811539,26.084955025389494,30.753434193368935,25.15752434357264,19.487601261703116
RO,4.094484851677554,28.177900460065974,6.8546997844703625,15.553150050117987,25.742028638488947,25.851829637629844,17.492679446691323,26.260034104214455,16.657036333960647,20.597324424434404,10.380080643137267,14.930817521468043,22.86726581732989,17.060735383720832,29.075920819377004,22.18535496576627,29.019461728173066,21.416366291546385,25.0483506018063,28.842474279914217,0.0,24.801560780366003,12.024118024268473,24.278472829769214,26.91477101786595,22.737147404608987,15.645084907937127
AM,10.383181234739814,25.143840486434208,0.0,9.486372266961961,23.662311433563815,21.489353737095602,17.550675198571845,26.146574640458354,17.32534489579313,15.765658310082708,13.090595897733646,18.167352562635124,23.25560604305366,11.654556872010618,25.46501666179319,24.779404919408538,25.611303378865063,17.323323530399414,25.955566710825327,24.955240008974567,6.8546997844703625,28.353155783901816,5.972589575915626,27.022934777449542,24.2392768535566,24.436543017801288,13.696033447125192
MT,13.000848502439364,21.21000214008177,13.090595897733646,16.40970543774391,17.78456657784305,21.17665043936462,8.211373739261173,16.466955550991358,6.929076301735611,17.614370656855076,0.0,5.076984832536141,12.89808259831007,16.058281245883354,22.85149300104105,11.972481910745703,22.50249897708986,16.955375840171435,14.793551693543408,23.062616795230028,10.380080643137267,15.26440536504531,18.98649425949996,14.153087644373752,19.584422121432585,12.358117339959598,9.433142018491244
RR,14.649401629811539,27.88451742804182,5.972589575915626,10.016845440549488,27.22173018229218,23.098486602430405,22.589663892634018,30.811844020407804,22.610046825355518,17.27462218602746,18.98649425949996,24.058600435647065,28.234955311095398,12.92931690115893,27.65979933812487,30.47934068266714,27.993861241817736,19.539006843708155,31.08994501898992,26.895196369662393,12.024118024268473,34.22146879507408,0.0,32.73691860139466,27.32000346434555,29.88810532139843,17.983856856045648
MS,16.84981980350395,21.766598423123558,18.167352562635124,20.787387960875318,17.777501237780125,23.19074748970804,8.199613721346754,14.316983820453979,6.569593436409897,20.691880466787573,5.076984832536141,0.0,10.702383920870945,19.968308677614562,23.833505310061504,7.310395427141885,23.305315824279578,19.406737827034636,11.654707215618972,24.32004704926041,14.930817521468043,10.1918302425895,24.058600435647065,9.350674525495416,19.972177941578323,8.564810679883356,12.000076813487864
TO,19.487601261703116,12.604147437354898,13.696033447125192,10.624166902439597,10.191373878360707,11.744367536402669,5.563885316135569,12.854233684447161,6.503779522684715,8.703004341297548,9.433142018491244,12.000076813487864,10.615466566750706,8.786581977868869,13.81262788664275,15.224234931757064,13.612687943925733,7.569283639090956,13.648596494647354,13.845555339973076,15.645084907937127,20.0129076494008,17.983856856045648,17.35128785194344,11.273574298220103,13.42249513023689,0.0
AP,19.502741887169247,18.117753383689077,9.486372266961961,0.0,18.0644577104393,13.08187357160372,16.128380597437857,22.984165413611716,16.801884069695042,7.270441252058157,16.40970543774391,20.787387960875318,21.166678142435508,2.9766592680595774,17.698499234490416,25.52323134525887,18.081065804968468,9.69943577598022,24.228201736984545,16.89325940353844,15.553150050117987,30.073726471713645,10.016845440549488,27.72638173242071,17.764663292836705,23.992916801828745,10.624166902439597
GO,19.739385533745114,15.236961791558349,17.32534489579313,16.801884069695042,11.369846575904266,16.788464780016067,1.6307662695046137,9.641309370627676,0.0,14.987667612974509,6.929076301735611,6.569593436409897,6.215923552154819,15.24261684732976,17.26547939989301,8.756776776166273,16.747863383463816,13.283468489481995,8.657934057744086,17.75562082190876,16.657036333960647,13.509132465874554,22.610046825355518,10.931826926203732,13.466971638633678,7.35597823818124,6.503779522684715
DF,20.761040266595113,13.614988060799066,17.550675198571845,16.128380597437857,9.795943994454031,15.238323044771624,0.0,8.811284843952388,1.6307662695046137,13.728211786517319,8.211373739261173,8.199613721346754,5.7049319530424745,14.343897903731223,15.634772603010767,9.748085779572161,15.11839771367092,11.86577491012218,8.501906957737953,16.130628137876407,17.492679446691323,14.638505253390456,22.589663892634018,11.823766734214988,11.853590609441932,7.868745639134233,5.563885316135569
PA,21.122029778722897,15.14422818294581,11.654556872010618,2.9766592680595774,15.227479018973067,10.204222764079436,14.343897903731223,20.52911630114482,15.24261684732976,4.357082811602509,16.058281245883354,19.968308677614562,19.00181179659266,0.0,14.741523989696892,23.993082084360772,15.110198546025963,6.7249270443998155,22.079983586225104,13.967331016180044,17.060735383720832,28.720576656364766,12.92931690115893,26.13483935766451,14.824729727181031,22.17793724608754,8.786581977868869
